Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Ratio of Engagement To Post Entered in screen,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",,Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
386724564681370_5193417827345329,https://www.facebook.com/habitatmatthews/posts/5193417827345329,"Join our team as a full-time ReStore Truck Driver! This person will serve as an associate of the ReStore and is responsible for donation processing, customer service, retail floor stocking, and retrieval of external donations via the ReStore Truck (AKA you must have the ability to lift more than 50 lbs without assistance and safely lift/move furniture throughout the day).  Benefits include health insurance, dental, vision, short-term & long-term disability, life insurance, flex spending, PTO for holidays, and 2 weeks' vacation. Plus getting to work as part of a great team, (mostly), 4-day work week, exercise throughout the day (no gym membership needed!), and being an integral part of the Habitat mission! 🚛 ➡️ 🏡 Visit greatermatthewshabitat.org/careers for more info",Video,,,3/9/22 5:00 PM, ,36,36,0,38,38,0,2,5.56,0,0,0,0,33,31,0,0,2,7,7,0,0,11,12,0,0,5028,5000
386724564681370_5193403134013465,https://www.facebook.com/habitatmatthews/posts/5193403134013465,"Research has shown that when single women embark on the conventional path to homeownership, they often find themselves face to face with barriers that men are less likely to encounter. At Greater Matthews Habitat for Humanity, we knock down these barriers and empower women to build a stable future. #InternationalWomensDay2022  https://www.greatermatthewshabitat.org/post/women-builds-change-lives",Link,,,3/8/22 5:00 PM, ,44,44,0,45,45,0,3,6.82,0,0,0,0,39,38,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5191248920895553,https://www.facebook.com/habitatmatthews/posts/5191248920895553,"Today, on International Women's Day, we celebrate all the strong women who don their hard hats and lift their tools in solidarity and support of the millions of other women around the world who lack the basic human need of having a simple, decent place to live.",Video,,,3/8/22 4:39 AM, ,77,77,0,80,80,0,5,6.49,2,2,0,0,48,45,0,0,4,3,3,0,0,19,23,0,0,4778,17878
386724564681370_4964595313560916,https://www.facebook.com/habitatmatthews/posts/4964595313560916,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky. - Rabindranath Tagore",Photo,,,3/7/22 6:55 AM, ,136,136,0,137,137,0,3,2.21,0,0,0,0,126,125,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5180400168647095,https://www.facebook.com/habitatmatthews/posts/5180400168647095,"This beautiful spring weather brings us back to the butterfly garden one of our former Homeowner Selection Committee (and founding Habitat Matthews) members built with one of our recent partner families, Macky & Yvette, and their children.",Link,,,3/3/22 1:11 PM, ,255,255,0,262,262,0,8,3.14,2,2,0,0,238,233,0,0,8,0,0,0,0,0,0,0,0,0,0
386724564681370_5176805572339888,https://www.facebook.com/habitatmatthews/posts/5176805572339888,Looking for a great place to work and an opportunity to be a part of our mission? Join our Greater Matthews Habitat for Humanity ReStore team!,Link,,,3/2/22 7:05 AM, ,106,106,0,111,111,0,3,2.83,1,1,0,0,97,94,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5174106639276448,https://www.facebook.com/habitatmatthews/posts/5174106639276448,"Every Habitat for Humanity home is special, but they’re even more special as imagined by their youngest residents. When Habitat for Humanity International asked the children of Habitat homeowners all around the world — including the U.S., Canada, Europe, Africa, Asia and the Pacific, and Latin America and the Caribbean — to share what having a home has meant to them, they were awed by the children's responses.  What the children showed in their drawings and stories is that no matter what country, city, town, or village the home is built in, every Habitat home is built with love and hope for a brighter future. Through their eyes, we are reminded of our wonderful differences and also what connects us — no matter where we live — and how in its simplest form a home is a place to love and be loved.",Link,,,3/1/22 7:55 AM, ,110,110,0,114,114,0,4,3.64,0,0,0,0,88,87,0,0,4,0,0,0,0,0,0,0,0,0,0
386724564681370_4964590473561400,https://www.facebook.com/habitatmatthews/posts/4964590473561400,"When you have a dream, you've got to grab it and never let go. - Carol Burnett",Photo,,,2/28/22 6:52 AM, ,114,114,0,118,118,0,2,1.75,0,0,1,1,102,100,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_5162944490392663,https://www.facebook.com/habitatmatthews/posts/5162944490392663,"Many companies not only encourage their employees to give to and volunteer time to nonprofits in their communities, but also will match those efforts with dollars and other means of support. Check out our latest blog post to see how your employer can help your gift fo further:   https://www.greatermatthewshabitat.org/post/how-you-can-help-your-employer-help-habitat",Photo,,,2/27/22 9:04 AM, ,75,75,0,77,77,0,2,2.67,0,0,0,0,64,64,0,0,2,0,0,0,0,0,0,0,0,0,0
